decimaldate,date,yearday,site,satsecchi
2019.331964,5/1/19,121,5,1.72898833
2019.331964,5/1/19,121,6,1.546182664
2019.331964,5/1/19,121,12,1.809499472
2019.331964,5/1/19,121,13,1.0990078
2019.331964,5/1/19,121,16,1.722207894
2019.331964,5/1/19,121,17,NaN
2019.419576,6/2/19,153,1,NaN
2019.419576,6/2/19,153,2,0.976014177
2019.419576,6/2/19,153,3,NaN
2019.419576,6/2/19,153,4,NaN
2019.419576,6/2/19,153,5,NaN
2019.419576,6/2/19,153,6,NaN
2019.419576,6/2/19,153,7,NaN
2019.419576,6/2/19,153,8,NaN
2019.419576,6/2/19,153,9,NaN
2019.419576,6/2/19,153,10,NaN
2019.419576,6/2/19,153,11,NaN
2019.419576,6/2/19,153,12,NaN
2019.419576,6/2/19,153,13,NaN
2019.419576,6/2/19,153,14,NaN
2019.419576,6/2/19,153,15,NaN
2019.419576,6/2/19,153,16,NaN
2019.419576,6/2/19,153,17,NaN
2019.550992,7/20/19,201,2,1.286561015
2019.550992,7/20/19,201,5,2.234498567
2019.550992,7/20/19,201,6,3.74228092
2019.550992,7/20/19,201,12,1.849664651
2019.550992,7/20/19,201,13,1.2031513
2019.550992,7/20/19,201,16,1.613022763
2019.550992,7/20/19,201,17,2.171822945
2019.726215,9/22/19,265,1,NaN
2019.726215,9/22/19,265,2,1.222116043
2019.726215,9/22/19,265,3,NaN
2019.726215,9/22/19,265,4,NaN
2019.726215,9/22/19,265,5,1.288223641
2019.726215,9/22/19,265,6,1.132908097
2019.726215,9/22/19,265,7,NaN
2019.726215,9/22/19,265,8,NaN
2019.726215,9/22/19,265,9,NaN
2019.726215,9/22/19,265,10,NaN
2019.726215,9/22/19,265,11,NaN
2019.726215,9/22/19,265,12,1.071284682
2019.726215,9/22/19,265,13,1.508431897
2019.726215,9/22/19,265,14,NaN
2019.726215,9/22/19,265,15,NaN
2019.726215,9/22/19,265,16,1.364854118
2019.726215,9/22/19,265,17,0.99002841
2019.813826,10/24/19,297,1,NaN
2019.813826,10/24/19,297,2,0.751742734
2019.813826,10/24/19,297,3,NaN
2019.813826,10/24/19,297,4,NaN
2019.813826,10/24/19,297,5,1.675272939
2019.813826,10/24/19,297,6,1.586486753
2019.813826,10/24/19,297,7,NaN
2019.813826,10/24/19,297,8,NaN
2019.813826,10/24/19,297,9,NaN
2019.813826,10/24/19,297,10,NaN
2019.813826,10/24/19,297,11,NaN
2019.813826,10/24/19,297,12,1.710489248
2019.813826,10/24/19,297,13,1.16776907
2019.813826,10/24/19,297,14,NaN
2019.813826,10/24/19,297,15,NaN
2019.813826,10/24/19,297,16,1.204000923
2019.813826,10/24/19,297,17,1.440287477
2019.857632,11/9/19,313,1,NaN
2019.857632,11/9/19,313,2,1.504246959
2019.857632,11/9/19,313,3,NaN
2019.857632,11/9/19,313,4,NaN
